"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	1765	9	2						"CHINA"	34.8	105		6.5	9	2068	4						4	74748	4			2068	4						4	74748	4		
	1765						5489		"CHILE"	-33.05	-71.617																											
	1766	3	8				487		"JAPAN"	40.9	140.7		6.9		1700	4						3	8200	4	8200	4	1700	4						3	8200	4		
	1766	5	22	5	30	0	2320		"TURKEY"	40.8	29		6.5	10								2												2				
	1766	6	9			0			"IRAN"	27.7	54.3											3																
	1766	6	12	5	0		489		"CUBA"	19.9	-76.1	25	6.8	9	40	1			700	3		3		3			40	1			700	3		3		3		
	1766	7	9	21		0			"COLOMBIA"	3.7	-76.3			9								3																
	1766	7	11	5	6	0			"GREECE"	38	20.5			10																								
	1766	8	25			0			"MARTINIQUE"	14.4	-61.1			8								2		1										2		1		
	1766	10	21	9			490		"VENEZUELA"	10.47	-64.17		7.5	9								3												3				
	1766								"GUATEMALA"	14.7	-89.5											2																
	1767	4	24	6	0	0	492		"MARTINIQUE"	14.4	-61																											
	1767	7	11	4		0			"GREECE"	38.2	20.2			10																								
	1767	7	14			0			"ITALY"	39.3	16.2			10	40	1						3																
	1767	11	13	7	25	0			"PHILIPPINES"	14.2	121			7								2																
	1767	11	22				494		"CHINA"	22.2	113.55																											
	1768	6	22				496		"PAPUA NEW GUINEA"	-4.85	152.8		7.5																									
	1768	7	22				497		"JAPAN"	26.2	127.5		6.5																					1	9	1		
	1768	10	19	23		0			"ITALY"	44	12			10	120	3						3																
	1768	11	28			0			"CROATIA"	44.1	15.2			10																								
	1769	5	1						"IRAQ"	33	44.5			7								3	2000	4										3	2000	4		
	1769	5	7						"IRAN"	29.4	52.3											2																
	1769	8	29				499		"JAPAN"	32.3	132		7.4									2				2								2				2
	1769	10	1			0			"GREECE"	38.8	20.8			10																								
	1769	10	24	13		0			"RUSSIA"	51.8	105.5	40	7.3	10																								
	1769					0			"SWITZERLAND"	46.9	9.5			5								3																
	1770	1							"GREECE"	38.717	20.65					3						2	700	3				3						2	700	3		
	1770	5	27						"JAPAN"	38.6	142		7.4			2																						
	1770	6	3	19	15		501		"HAITI"	18.5	-73.4	10	7.5	10	200	3						3					200	3						3				
	1770	9	26						"CHINA"	24.6	99.9		5.5	7								1	80	2										1	80	2		
	1770	12					502		"PHILIPPINES"	14.6	120.98			8								2		3										2		3		
	1770						500	7542	"INDONESIA"	-5	102		7									3		3										3		3		
	1771	2	1			0			"PHILIPPINES"	14.2	121			8								3																
	1771	4	24				503		"JAPAN"	24	124.3		7.4														13486	4						4	3237	4		
	1771	9	3	13		0			"JAMAICA"	17.6	-76.5											2																
	1772	5	12			0			"GREECE"	39.5	20			10																								
	1772	6	3			0			"JAPAN"	39.3	142.7		7.4			2																						
	1772	6				0			"FRANCE"	44.4	4.8			8								2																
	1773	5	6			0	2767		"MOROCCO"	35.8	-5.83											2																
	1773	6	3				507		"GUATEMALA"	14.6	-90.7				8000	4						4		4		4	8000	4						4		4		
	1773	7	29						"GUATEMALA"	14.6	-90.7				100	2						2		2		2	100	2						2		2		
	1774	9	10	15	25	0			"SWITZERLAND"	46.9	8.7			8		2						3																
	1774	11	6						"MEXICO"	22.04	-103.73			9								2				4								2				4
	1774					0	510		"CANADA"	47	-55				300	3																						
	1774								"FRENCH GUIANA"	4.9	-52.3											3												3				
	1775	2	11				2768		"CUBA"	19.9	-76																							3				
	1775	3					2389		"HAITI"	19	-72.4											1												3				
	1775	4	18				513		"INDONESIA"	-3.7	128.2											1												1				
	1775	10	13	10		0			"CROATIA"	46	15.9			10								3																
	1775	12	18				517		"HAITI"	19	-72.4											1												3				
	1775	12				0			"VENEZUELA"	9.2	-70.3			8								2																
	1776	1	30			0			"DOMINICAN REPUBLIC"	19	-70.4											3																
	1776	4	21						"MEXICO"	16.7	-99.2			8								3												3				
	1776	12							"TAIWAN"	23.5	120.6		5.5	7		3						2		2				3						2		2		
	1777					0			"MOROCCO"	35.5	-5.4											3																
	1777								"MEXICO"	20.3	-103.7											2												2				
	1778	1	30			0			"IRAN"	33.6	51.3				30000	4						3																
	1778	6	16			0			"TURKEY"	38.5	27			10																								
	1778	12	15			0			"IRAN"	33.9	51.3											3																
	1779	12	27			0			"IRAN"	38	46.7		6.5	7	10000	4						3																
	1780	1	8	19	30				"IRAN"	38	46.2	20	7.7	9	50000	4						4		4			50000	4						4		4		
	1780	6	29				524		"RUSSIA"	45.3	151.2	40	7.5														12	1						1		1		
	1780	9	21				5849		"MONTENEGRO"	42.4	18.8			10								3												3				
	1780	10	3			0	526		"JAMAICA"	18.2	-78.1				300	3																						
	1780	10	28			0			"GREECE"	35	25.8			10																								
	1781	6	3	10					"ITALY"	43.6	13.5			10								3																
	1781	8	1			0	530		"JAMAICA"	18.1	-77.3											2																
	1781								"IRAQ"	36.3	43.1			10	80	2						2					80	2						2				
	1782	5	22				533		"TAIWAN"	24.5	120.5				40000	4						3		3			40000	4						3		3		
	1782	8	22				534		"JAPAN"	35.1	139.7		7.3									3	1000	3				3						3	1000	3		
	1783	2	5	8	0		3208		"ITALY"	38.9	17.1			3																								
	1783	2	5	12	0		2769		"ITALY"	38.3	15.967	13	6.9	11	30000	4						4		4			30000	4						4		4		
	1783	2	6	0	20		3209		"ITALY"	38.217	15.633	6	5.9	8													1500	4										
	1783	2	7	13	10		3689		"ITALY"	38.583	16.2		6.6	10								3		3										3		3		
	1783	2	7	15	0				"ITALY"	38.2	15.55			9								3		3										3		3		
	1783	3	1	1	40		3210		"ITALY"	38.767	16.3		5.9	9								3		3										3		3		
	1783	3	20			0			"TURKEY"	38.7	30.7			10	26	1																						
	1783	3	28	18	55		3211		"ITALY"	38.783	16.467		6.9	10		3						3		3				3						3		3		
	1783	7	29						"ITALY"	38.3	16.3											3		3		3								3		3		
	1783					0			"DOMINICAN REPUBLIC"	19.3	-70.4											2																
	1784	1	7				3212		"ITALY"	38.317	16.4		4.1	6																								
	1784	1	19				3213		"ITALY"	38.167	15.633		4.1	6																								
	1784	3	28				539		"MEXICO"	16.9	-99.9					1						3						1						3				
	1784	4	2						"MEXICO"	17	-96.3											2												2				
	1784	5	13	12	35		3685		"PERU"	-16.5	-72		8	10	383	3						3		3			383	3						3		3		
	1784	7	23			0			"TURKEY"	39.7	39.5				5000	4						3																
	1784	7	29	14	10	0			"HAITI"	18.5	-72.3											3																
	1784	8	14			0			"ICELAND"	63.8	-20.5											3																
	1784	8	15			0			"SPAIN"	40.9	0.3			9								2																
	1784	11							"INDIA"	34.1	74.8			8		3						2		2				3						2		2		
	1785	1	30						"GREECE"	38.2	21.7			9	38	1						2					38	1						2				
	1785	4	18						"CHINA"	39.9	98		6	8	36	1						2		2			36	1						2		2		
	1785	7	12	12	45				"COLOMBIA"	4.6	-74			8	12	1						2		2			12	1						2		2		
	1786	2	5						"GREECE"	39.7	19.8				120	3						3					120	3						3				
	1786	3	9						"ITALY"	38.2	15.2			10																								
	1786	6	1						"CHINA"	29.8	102.1		7.5	9	435	3						3		3			435	3						3		3		
	1786	6	18						"CHINA"	44	80.8		6	8								2		3										2		3		
	1786					0			"VENEZUELA"	8.5	-71.2			8								2																
	1787	3	28	17	30		544		"MEXICO"	16.5	-98.5		8.3									3		3			11	1				1		3		3		
	1787	4	3	15	30		545		"MEXICO"	15.5	-97		7.3									2												2				
	1787	5	2			0			"USA TERRITORY"	18.3	-66.4											2																
	1787	5	10			0			"USA TERRITORY"	18	-66.4											2																
	1787	5				0			"PHILIPPINES"	10.8	122.5			10		3						2																
	1787	7	12	22	45				"PHILIPPINES"	10.7	122.5			10		3						3																
	1787	10	27				547		"JAMAICA"	18.47	-77.92																											
	1788	7	21				549		"USA"	57	-153		8	7														3						1		1		
	1788	8	6				551		"USA"	55	-161		8															3										
	1788	10	12			0			"SAINT LUCIA"	14	-61			9	900	3						3					900							3				
	1788					0			"TOGO"	7.6	1.7		5.6	8								2																
	1789	6	7						"CHINA"	24.2	102.8		6.5	9		3				3		3		3				3				3		3		3		
	1789	9	30	4	15	0			"ITALY"	43.5	12.2			10	500	3						3																
	1789	11	7						"CHINA"	34.6	110.3		5	6		2						1		1				2						1		1		
	1790	10	9	1	15		3075		"ALGERIA"	35.7	-0.6			10	3000	4						3		3			3000	4						3		3		
	1790	12	2	1		0			"RUSSIA"	54	162	20	7.5	10																								
	1791	4	8						"CHINA"	24.5	117.7		5.5	7								2		3										2		3		
	1791	4	15				556		"RUSSIA"	56	163	20	6.8	9																								
	1791	9	13				558		"JAPAN"	34.5	135.4		6.5			2						1						2						1				
	1791	10	12	17					"ITALY"	38.5	16.1			9	15	1						2																
	1791	10	22						"GREECE"	37.5	20.3			10	22	1						3																
	1791	11	2	21			559		"GREECE"	35.8	21		7	10	50	1			80	2		3		3			50	1			80	2		3		3		
	1791					0			"IRAN"	38	46.2											2																
	1791								"GUATEMALA"	14.6	-91.5											3												3				
	1791								"MOROCCO"	35.3	-2.97											2																
	1792	5	21				568	932	"JAPAN"	32.8	130.3		6.4							2		2		2			15030	4			707	3		4	6200	4		
	1792	6	13				569		"JAPAN"	43.5	140.6		6.9															2						1				
	1792	8	9				3577		"TAIWAN"	23.6	120.5		6.8	9	252	3			432	3		3	14889	4			252	3			432	3		3	14889	4		
	1792	8	22	18		0	570		"RUSSIA"	54	162	40	8.4	11																								
	1792	9	7						"CHINA"	31	101.5		6	8	205	3						2		3			205	3						2		3		
	1792						560		"USA"	57	-152			7								1												1				
	1793	2	8	3			572		"JAPAN"	40.85	139.95		6.9		12	1						2	164	3			12	1						2	164	3		
	1793	2	17				573		"JAPAN"	38.5	144		8.3		25	1						3	1060	4			745	3						3	1160	4		
	1793	4	12			0			"HAITI"	19	-72.3											2																
	1793	5	15						"CHINA"	30.6	101.5		6	8	200	3			30	1		2		3			200	3			30	1		2		3		
	1793	7				0			"AZORES (PORTUGAL)"	39.3	-31.1			10																								
	1794	3	14			0			"IRAN"	34	51.4											2																
	1794	9	10						"VENEZUELA"	10.47	-64.17			9								2		3										2		3		
	1795	5	20	22					"SIERRA LEONE"	9.3	-13.4		5.2	5								2																
	1795	5	23						"MEXICO"	17	-96.3			9								3				1								3				1
	1795						5585		"TRINIDAD AND TOBAGO"	10.7	-61.7											2		2										2		2		
	1796	2	15			0			"COLOMBIA"	7.4	-72.7											2																
	1796	2	26			0			"SYRIA"	35.2	35.8			9	1500	4						3																
	1796	3	18			0			"ITALY"	40.5	13.9				7	1						2																
	1796	3	30	10	45				"CHILE"	-27.35	-70.35		7.7	11		1						2		3				1						2		3		
	1796	11	5	6			3682		"PHILIPPINES"	16	119.5			9								3												3				
	1797	2	4	12	30				"ECUADOR"	-1.64	-78.67		8.3	11	40000	4						4		4			40000	4						4		4		
	1797	2	10				576		"INDONESIA"	0.001	99		8	9								1					300	3						2		3		
	1797	12	14						"VENEZUELA"	10.6	-64.1			9	16000	4						3		3			16000	4						3		3		
	1798	2	2						"EL SALVADOR"							3						4						3						4				
	1798	2	22			0	579		"COSTA RICA"	10.2	-82.9			6																								
	1798	5	26			0			"ITALY"	43.5	11.2			10								3																
	1798	6				0			"GREECE"	36.2	23			10																								
	1798	8	24						"CHILE"	-27.35	-70.35											2		2										2		2		
	1799	1	25			0			"FRANCE"	46.9	-2			8								2																
	1799	6	29				583		"JAPAN"	36.6	136.6		6.4															3						2				2
	1799	7	28			0			"ITALY"	43.1	13			10	60	2						3																
	1799	7	29	20		0			"ITALY"	43.1	13.1			10																								
	1799	8	27						"CHINA"	23.8	102.4		6.5	9	2000	4						4	15236	4			2000	4						4	15236	4		
	1799	9							"COLOMBIA"	7.5	-73.5		5	7								3												3				
	1799					0			"UZBEKISTAN"	39.4	67.2	10	6	9								3																
	1799						581		"PERU"	-12	-77																											
	1800	3	8						"MEXICO"	19.2	-99.1			7								2												2				
	1800								"CANARY ISLANDS"	28.1	-17.1																											
	1800								"IRAN"	36.2	53.3		6.5									3																
	1801	5	14	21	30	0			"SWITZERLAND"	46.9	8.6			4		2																						
	1801	10	5						"MEXICO"	16.2	-96.1		7		7	1				2		3					7	1				2		3				
	1802	3	19				585		"ANTIGUA AND BARBUDA"	17.2	-62.4																											
	1802	5	12	9	30	0			"ITALY"	45.5	10			9								2																
	1802	8	15				2376		"VENEZUELA"	10.3	-64.5																											
	1802	8					586		"INDONESIA"	-3.7	128.2			10																				2				
	1802	10	26	10	55	0	5843		"ROMANIA"	45.7	26.6	150	7.4	10								2				2								2				2
	1802	11	7				3215		"ALGERIA"	36.5	2.9					3						3	1100	4	1100	4		3						3	1100	4		
	1802	12	9	5			588		"JAPAN"	37.7	138.3		6.6		19	1						3	1060	4			19	1						3	1060	4		
	1803	2	1						"CHINA"	25.6	100.6		6	8	200	3						2		2										2		2		
	1803	9	1						"INDIA"	31	79		7.5			3						3		3		3		3						3		3		3
	1804	1	8			0	590		"GREECE"	38.3	21.8			9		2																						
	1804	1	13	17	45		4278		"SPAIN"	36.083	-3.583		6.7	8	2	1						1		1		1	2	1						1		1		1
	1804	6	8	1		0	591		"GREECE"	38.2	21.8			10		2						3						2						3				
	1804	7	10	13			593		"JAPAN"	39.05	139.95		7.3		450	3						4	10810	4			450	3						4	10810	4	300	3
	1804	8	25	8	25				"SPAIN"	36.77	-2.83		6.4	10	173	3			200	3		3	2500	4	4000	4	173	3			200	3		3	2500	4	4000	4
	1805	1	27	13		0			"VENEZUELA"	10.5	-64.2			8								2																
	1805	6	16	8	15	0			"COLOMBIA"	5.37	-74.87	15	6.1	8	200	3				3		3		3		3	200	3				3		3		3		3
	1805	7	26	20	57				"ITALY"	41.2	14.7			11	5600	4						4																
	1805					0			"IRAN"	36.3	52.4											2																
	1806	3	25	8			2467		"USA"	34.4	-119.7			6								1												1				
	1806	3	25						"MEXICO"	18.9	-103.8		7.5	8	2000	4						4		3			2000	4						4		3		
	1806	6	11						"CHINA"	28.5	92		7.7		100	2						2		3			100	2						2		3		
	1806	8	26	13	20		3218		"ITALY"	41.7	12.7			8																								
	1806	10	27	12	30				"SPAIN"	37.23	-3.73		5.3	8	13	1						2		2			13	1						2		2		
	1806	12	1	23			596		"PERU"	-12.1	-77.1	30	7.5	8								1												1				
	1807	6	6	16					"PORTUGAL"	38.7	-9.2			7	11	1						1		1			11	1						1		1		
	1808	4	2	16	43		3219		"ITALY"	44.833	7.25		5.7	9	2	1						1					2	1						1				
	1808	4							"MOROCCO"	35.3	-2.97											2																
	1808	8	8				599		"JAPAN"	33.9	134.8		6.5																									
	1808	10	9			0			"IRAN"	36.3	53.3											3																
	1808	12	16			0			"IRAN"	36.2	50											3																
	1808								"ECUADOR"	-0.217	-78.5											1												1				
	1809	12	4				602		"SOUTH AFRICA"	-33.88	18.45											1		1										1		1		
	1809	12	7			0			"IRAN"	36.3	53											3																
	1809						2933		"USA TERRITORY"	14	143.3																											
	1810	2	16				3642		"GREECE"	35.5	25	100		10	2000	4						3		3		3	2000	4						3		3		
	1810	3	20						"CANARY ISLANDS"	28.2	-16.6			9		3																						
	1810	8	27				5702		"MEXICO"	26	-111.35		7.4	9								2		1		1								2		1		1
	1810	9	25				603		"JAPAN"	39.9	139.9		6.6		59	2						3	1804	4			59	2						3	1804	4		
	1810	10				0			"CUBA"	23.8	-82.2											2																
	1811	1	1	5		0			"GEORGIA"	41.8	45.2	7	4.2	7								2																
	1811	3	18						"TAIWAN"	25.2	121.3		7		21	1			21	1		2					21	1			21	1		2				
	1811	9	27						"CHINA"	31.7	100.3		6.5	8	480	3						2	598	3			480	3						2	598	3		
	1811	10	5			0			"PHILIPPINES"	13.1	123.9			9								2																
	1811	11	19	14	15		604		"CHILE"	-33.08	-71.67																											
	1811	12	16	8	15		2442		"USA"	35.6	-90.4		7.5	11		1						3				1		1						3				1
	1811	12	16	13	15		2443		"USA"	35.6	-90.4		7	10																								
	1812	1	23	15		0	2444		"USA"	36.3	-89.6		7.3	10								3																
	1812	2	7	9	45	0	2445		"USA"	36.5	-89.6		7.5									3				3					1	1		3				3
	1812	3	8						"CHINA"	43.7	83		8			4												4										
	1812	3	22						"ITALY"	41.9	12.45			7								2												2				
	1812	3	23			0			"FRANCE"	43.7	5.7			9								2																
	1812	3	26	20	7		607		"VENEZUELA"	10.6	-66.9	33	7.7	10	26000	4						3					26000	4						3				
	1812	6	23				3538		"FRANCE"	43.3	5.366																											
	1812	11	11	10	50	0	608		"JAMAICA"	18	-76.8					2						2				3		2						2				3
	1812	12	7			0			"JAPAN"	35.4	139.6		6.6			3																						
	1812	12	8	15					"USA"	34.37	-117.65		6.9	8	40	1						2				1	40	1						2				1
	1812	12	21	19			609		"USA"	34.2	-119.9		7.5	8	1	1				1		2			100	1	1	1				1		2		1	100	1
	1813	3	30	9	30	0			"PERU"	-14.1	-75.4			7	32	1						2		1			32	1						2		1		
	1813								"IRAN"	29.6	52.6											2												2				
	1814	2	2						"PHILIPPINES"	13.1	123.9			7								3																
	1814	2	4						"CHINA"	35.8	114.4		5.3	7	4	1				3		1		2			4	1				3		1		2		
	1814	5	22						"FRANCE"	43.2	0.4			7								2																
	1814	11	24						"CHINA"	23.7	102.5		6	8	900	3						3	900	3			900	3						3	900	3		
	1814						611		"INDONESIA"	-10.217	123.633											3												3				
	1815	4	11				3132		"INDONESIA"	-3.7	128.4											2		2										2		2		
	1815	5	3						"MEXICO"	17	-96.3			6								2				3								2				3
	1815	10	13						"TAIWAN"	25.2	121.2		6.5	8	111	3						3		3			111	3						3		3		
	1815	10	23						"CHINA"	34.8	111.2		6.8	9	13000	4						4	20000	4			13000	4						4	20000	4		
	1815	11	22				615		"INDONESIA"	-8	115	150	7	9	10253	4											11453	4										
	1815	12							"GREECE"	35	25.75			9								3		3		3								3		3		
	1815								"GREECE"	38.8	20.5			8		1												1										
	1816	2	2	0	40		5787		"PORTUGAL"				7	8																								
	1816	5	1				616		"INDONESIA"	5	96.5																											
	1816	7	22	15	30				"GUATEMALA"	15.5	-91.5	33	7.5	9	23	1						3		3		3	23	1						3		3		
	1816	11	14				5893		"MEXICO"					5								3												3				
	1816	12	8						"CHINA"	31.4	100.7		6.5	8	2854	4						3	1104	4			2854	4						3	1104	4		
	1817	1	8				2446		"USA"	39.95	-75.1																											
	1817	3	11	20	10	0			"FRANCE"	45.9	6.8		8		4	1						3																
	1817	3	18	10	45				"SPAIN"	42.3	-2.25		5.7	8	1	1						3		3			1	1						3		3		
	1817	4							"CHINA"													3	11000	4										3	11000	4		
	1817	8	23				619		"GREECE"	38.25	22.25		6.8	10																								
	1818	2	20	18	10				"ITALY"	37.6	15			10	72	2						3		3			72	2						3		3		
	1818	2	23	18	10		3224		"ITALY"	43.917	8.033			10								3		3										3		3		
	1818	3	18				621		"INDONESIA"	-4	101.5		7	9								1												1				
	1818	3	31						"MEXICO"	19.1	-103.6		7.5																									
	1818	4	23						"BULGARIA"	42.8	23.3			10																								
	1818	5	31				5894		"MEXICO"	19.1	-103.94		8.2	10	2000	4						3		3			2000	4						3		3		
	1818	9	8	9	37				"ITALY"	37.8	14			10	100	2						3		3			100	2						3		3		
	1818	11	8				622		"INDONESIA"	-7	117	600	8.5									2		3										2		3		
	1819	2	24						"CHINA"	36.1	102.3		5.8	7	126	3			58	2		2	108	3	108	3	126	3			58	2		2	108	3		
	1819	3							"ALGERIA"	35.07	0.02			10		3						3		3				3						3		3		
	1819	4	3	14	0				"CHILE"	-27.4	-70.3		8									2		2										2		2		
	1819	4	4	20	0				"CHILE"	-27.4	-70.3		8			3						3		3				3						3		3		
	1819	4	12	3	0		626		"CHILE"	-27	-71.5		8.5	10		1						3		3				1						3		3		
	1819	5	26	17		0			"ITALY"	42.5	11.8			9		3						3																
	1819	6	16	23	30		629		"INDIA"	23	71		7.7	11	1543	4						4	1547	4			1543	4						4	1547	4		
	1819	8	31				630		"NORWAY"	66.416	12.85		5.8	7								1												1				
	1820	3	1				631	5044	"USA"	54.52	-164.65																											
	1820	3	17			0			"GREECE"	38.8	20.5			9								2																
	1820	5	4				633		"MEXICO"	17.2	-99.6		7.6									3												3				
	1820	8	3						"CHINA"	34.1	113.8		6	8	430	3			590	3		4	26040	4							590	3		4	26040	4		
	1820	10	9						"IRAN"	29.6	52.5					3						3						3						3				
	1820	10	19						"HONDURAS"	15.7	-88					3						2		3				3						2		3		
	1820	12	29	3	30	0	3271		"GREECE"	37.75	21.25		6.9	10	386	3						3	379	3		3	388	3						3	379	3		3
	1820	12	29				635		"INDONESIA"	-7	119	80	7.5	10													500	3						2		3		
	1820					0			"VENEZUELA"	10.5	-64.2											2																
	1820								"IRAN"	36.5	53.5											2												2				
	1820						3561		"CONGO"	-4.5	11.6		6.2	5														3						1				
	1821	1	6	17	15	0	637		"GREECE"	37.8	21.2			10		2						2						2						2				
	1821	4	8						"MOROCCO"	35.3	-2.97											3																
	1821	5					4315		"UK TERRITORY"	-15.95	-5.7																3	1						1				
	1821	7	10	13					"PERU"	-16.107	-72.967			8	162	3						3					162	3						3				
	1821	11	17	13	30		5842		"ROMANIA"	45.7	26.6		6.7	8								1												1				
	1822	5	7				640		"COSTA RICA"	9.5	-83		7.6	7								2		2										2		2		
	1822	6	18						"CHINA"	33	104.6		5.5	7	23	1			20	1		1	70	2			12	1			20	1		1	70	2		
	1822	8	13				3274		"TURKEY"	36	36			11	8000	4						4					8000	4						4				
	1822	9	5						"TURKEY"	36	36			11	20000	4						4					20000	4						4				
	1822	11	20	2	30		641		"CHILE"	-33	-72		8.5	11	72	3			200	3		4		3		3	72	3			200	3		4		3		3
	1822	11	25	12	15				"CHILE"	-33.05	-71.63			10								1												1				
	1822	12	1			0			"GRENADA"	12.1	-64.1											2																
	1823	3	5	16	37				"ITALY"	38.1	14.7			10	22	1						3												3				
	1823	5	30				2448		"USA"	42.7	-79																											
	1823	6	19						"GREECE"	39.75	20.75			9								3		3										3		3		
	1823	8	20				642		"CROATIA"					7								2												2				
	1823	8				0			"VENEZUELA"	10.5	-63.8			8								2																
	1823	9	7			0			"IRAN"	36.3	53.3					3						3																
	1823	9	9				643		"INDONESIA"	-6.5	108.5	150	6.8																									
	1823	10				0			"CROATIA"	42.7	18.2					3						2																
	1823	11	30			0	644		"MARTINIQUE"	14.4	-61.1																							1				
	1823					0			"IRAN"	29.6	52.5											2																
	1824	4	10			0			"JAMAICA"	18	-76.5											2																
	1824	6	2						"IRAN"	29.7	51.6					4						4		4				4						4		4		
	1824	6	25						"IRAN"	29.8	52.4		6.4	8		3						3		2		3		3						3		2		3
	1824	9	13				646		"GUADELOUPE"	16.7	-62.2																											
	1824	9	29	6	30	0			"PHILIPPINES"	13.7	121.7											2																
	1824	10	26				647		"PHILIPPINES"	14.25	121.25					3						2		3				3						2		3		
	1824	11	30			0	648		"MARTINIQUE"	14.4	-61																							1				
	1825	1	19	11	45		653		"GREECE"	38.75	20.75		6.8	11	60	2						3		3			60	2						3		3		
	1825	2	26			0	651		"COLOMBIA"	11.1	-74.1											2																
	1825	3	2	7					"ALGERIA"	36.4	2.8			10	7000	4						4		4		4	7000	4						4		4		4
	1825	4					2934		"USA TERRITORY"	14	143.3			8								2		3										2		3		
	1825	9	21	1	45	0	655		"TRINIDAD AND TOBAGO"	10.4	-61.3											2																
	1825	10							"IRAN"	29.6	52.5			7								2		1										2		1		
	1825								"IRAN"	36.1	52.6		6.7	8		3						3		3				3						3		3		
	1826	1					5445		"JAPAN"	27.07	142.21																							1				
	1826	6	18	3	40	0			"COLOMBIA"	4.6	-73.9		8.2	9								3																
	1826	9	18	8		0			"CUBA"	20	-75.5											2																
	1826								"NEW ZEALAND"	-45.8	166.5		8																									
	1827	3	23						"CHINA"	34.9	111.1		5.3	7	84	2				2		1	55	2			84	2				2		1	55	2		
	1827	6							"TURKEY"	40.7	36.6			10								2												2				
	1827	8	9				663	2882	"RUSSIA"	53	158.5											1												1				
	1827	9	26						"PAKISTAN"	31.6	74.3				1000	3						2																
	1827	11	16	22	45		664		"COLOMBIA"	1.8	-76.4		7	11	250	3						3					250	3						3				
	1827	11	30	6	45	0			"MARTINIQUE"	14.4	-61			7								2												2				
	1828	2	2	13	15				"ITALY"	40.7	13.9			10	28	1						1		1			28	1						1		1		
	1828	3	30	12	35		666		"PERU"	-12.13	-77.809	50	8.3	7	30	1				3		2				2	30	1				3		2				2
	1828	5	26				667		"JAPAN"	32.6	129.9		6.4																									
	1828	6	6			0			"INDIA"	34.2	74.5				1000	3						3																
	1828	8	9	16		0			"AZERBAIJAN"	40.7	48.4	10	5.7	8								3																
	1828	11	9	10	30		668		"PHILIPPINES"	14.55	120.9			8								1				2								1				2
	1828	12	18				669		"JAPAN"	37.5	139.5				1443	4						4	11750	4			1443	4						4	11750	4		
	1828	12	29				670		"INDONESIA"	-7	119			9		3						3						3						3				
	1829	3	7	22		0			"RUSSIA"	51.4	104.1	40	7.5	10																								
	1829	3	21	18	30				"SPAIN"	38.2	-0.9			10	2000	4						3	3000	4			2000	4						3	3000	4		
	1829	4	23	16		0			"GREECE"	41.2	24.5			10																								
	1829	5	5			0			"GREECE"	41.2	24.5			9		2						2																
	1829	9	26	19	12		673		"CHILE"	-33.05	-71.63		7	11		1						1						1						1				
	1829	11	18						"CHINA"	33.2	117.9		5.5	7		3						3		3				3						3		3		
	1829	11	19						"CHINA"	36.6	118.5		6	8	200	3						2		2			200	3						2		2		
	1829	11	26						"ROMANIA"	44.2	26.1			10								3																
	1830	1	18	9	15		675		"PHILIPPINES"	14.55	120.9			9		3						2		3				3						2		3		
	1830	1							"MEXICO"	17	-96.3											3																
	1830	3	9	7		0			"RUSSIA"	43.5	47.5			9	410	3						2																
	1830	3	9	11	22	0			"RUSSIA"	43	47	16	6.3	9	40	1						2																
	1830	4	3			0			"IRAN"	36.4	54.3		6.5									3																
	1830	5	9			0			"IRAN"	35.7	52.1				500	3						3																
	1830	6	12						"CHINA"	36.4	114.2		7.5	10	7477	4				4		4	200000	4			7477	4				4		4	200000	4		
	1830	8	19			0			"JAPAN"	35	136				280	3																						
	1830	9	16				676		"PHILIPPINES"	14.55	120.9																											
	1831	4	3			0			"GREECE"	37.8	27			7		2																						
	1831	5	26	10	25	0			"ITALY"	43.8	7.8			9	4	1						3																
	1831	8	11						"BARBADOS"	13.1	-59.617				3000	4						3					3000	4						3				
	1831	9	11			0			"ITALY"	38.1	15.7			9							3	2																
	1831	9	28						"CHINA"	32.8	116.8		6.3	8	33	1						1		1			33	1						1		1		
	1831	10	9	2	15				"CHILE"	-18.5	-71		7.8	7		2						1																
	1831	12	3	23	40	0	677		"TRINIDAD AND TOBAGO"	12.4	-61.5		7																									
	1831						5552		"NEW ZEALAND"	-38.7	178																											
	1832	1	13	13					"ITALY"	42.9	12.6			10	22	1						2																
	1832	1	22			0			"AFGHANISTAN"	36.5	71					3						3																
	1832	3	8	18	15	0			"ITALY"	39	17			10																								
	1833	1	19				678		"ALBANIA"	40.4	19.9		6.4	10								2												2				
	1833	3	10				680		"MEXICO"	16.8	-99.9																											
	1833	4	25	14	30	0			"CHILE"	-28.5	-71.3			10																								
	1833	5	30						"INDIA"	29.4	80.1		7.5																									
	1833	8	26						"NEPAL"	28.3	85.5		7.7	9	500	3				3		3		4		4	500	3				3		3		4		4
